year_and_quarter,state,state_abbrev,mortality_per_100k
2021 Q4,New Jersey,NJ,5.1
2021 Q4,New Mexico,NM,27.3
2021 Q4,New York,NY,5.4
2021 Q4,North Carolina,NC,17.4
2021 Q4,North Dakota,ND,16.5
2021 Q4,Ohio,OH,16.2
2021 Q4,Oklahoma,OK,21
2021 Q4,Oregon,OR,15.8
2021 Q4,Pennsylvania,PA,14.7
2021 Q4,Rhode Island,RI,5.8
2021 Q4,South Carolina,SC,21.9
2021 Q4,South Dakota,SD,14.3
2021 Q4,Tennessee,TN,22.5
2021 Q4,Texas,TX,15.6
2021 Q4,Utah,UT,13.5
2021 Q4,Vermont,VT,12.9
2021 Q4,Virginia,VA,14.4
2021 Q4,Washington,WA,11.6
2021 Q4,West Virginia,WV,17.9
2021 Q4,Wisconsin,WI,13.5
2021 Q4,Wyoming,WY,26.8
2022 Q1,Alabama,AL,25.3
2022 Q1,Alaska,AK,25.7
2022 Q1,Arizona,AZ,19.3
2022 Q1,Arkansas,AR,22.1
2022 Q1,California,CA,9.1
2022 Q1,Colorado,CO,17.6
2022 Q1,Connecticut,CT,7.3
2022 Q1,Delaware,DE,15.8
2022 Q1,District Of Columbia,DC,26.7
2022 Q1,Florida,FL,14.3
2022 Q1,Georgia,GA,20.7
2022 Q1,Hawaii,HI,5
2022 Q1,Idaho,ID,16.2
2022 Q1,Illinois,IL,15.6
2022 Q1,Indiana,IN,18
2022 Q1,Iowa,IA,11.3
2022 Q1,Kansas,KS,18
2022 Q1,Kentucky,KY,20.5
2022 Q1,Louisiana,LA,28.5
2022 Q1,Maine,ME,12.6
2022 Q1,Maryland,MD,14.6
2022 Q1,Massachusetts,MA,3.7
2022 Q1,Michigan,MI,15.6
2022 Q1,Minnesota,MN,10.1
2022 Q1,Mississippi,MS,32.3
2022 Q1,Missouri,MO,23.3
2022 Q1,Montana,MT,25.5
2022 Q1,Nebraska,NE,10.3
2022 Q1,Nevada,NV,19.5
2022 Q1,New Hampshire,NH,8.7
2022 Q1,New Jersey,NJ,5.5
2022 Q1,New Mexico,NM,27.5
2022 Q1,New York,NY,5.6
2022 Q1,North Carolina,NC,17.4
2022 Q1,North Dakota,ND,16.4
2022 Q1,Ohio,OH,16.3
2022 Q1,Oklahoma,OK,20.5
2022 Q1,Oregon,OR,15.5
2022 Q1,Pennsylvania,PA,15.2
2022 Q1,Rhode Island,RI,5.5
2022 Q1,South Carolina,SC,21.5
2022 Q1,South Dakota,SD,14.7
2022 Q1,Tennessee,TN,22.2
2022 Q1,Texas,TX,15.9
2022 Q1,Utah,UT,12.9
2022 Q1,Vermont,VT,13
2022 Q1,Virginia,VA,15
2022 Q1,Washington,WA,12.3
2022 Q1,West Virginia,WV,17.4
2022 Q1,Wisconsin,WI,14.5
2022 Q1,Wyoming,WY,27.1
2022 Q2,Alabama,AL,25.2
2022 Q2,Alaska,AK,23.6
2022 Q2,Arizona,AZ,20.5
2022 Q2,Arkansas,AR,21.7
2022 Q2,California,CA,9
2022 Q2,Colorado,CO,17.3
2022 Q2,Connecticut,CT,7.1
2022 Q2,Delaware,DE,14
2022 Q2,District Of Columbia,DC,28.5
2022 Q2,Florida,FL,14.7
2022 Q2,Georgia,GA,20.5
2022 Q2,Hawaii,HI,4.7
2022 Q2,Idaho,ID,17.6
2022 Q2,Illinois,IL,15.4
2022 Q2,Indiana,IN,18.5
2022 Q2,Iowa,IA,11.1
2022 Q2,Kansas,KS,18.2
2022 Q2,Kentucky,KY,19.8
2022 Q2,Louisiana,LA,28.8
2022 Q2,Maine,ME,12.5
2022 Q2,Maryland,MD,14.1
2022 Q2,Massachusetts,MA,3.8
2022 Q2,Michigan,MI,15.5
2022 Q2,Minnesota,MN,10.5
2022 Q2,Mississippi,MS,31.1
2022 Q2,Missouri,MO,23.7
2022 Q2,Montana,MT,24.1
2022 Q2,Nebraska,NE,11.3
2022 Q2,Nevada,NV,19.8
2022 Q2,New Hampshire,NH,9.3
2022 Q2,New Jersey,NJ,5.4
2022 Q2,New Mexico,NM,27.1
2022 Q2,New York,NY,5.6
2022 Q2,North Carolina,NC,17.2
2022 Q2,North Dakota,ND,15.9
2022 Q2,Ohio,OH,16.2
2022 Q2,Oklahoma,OK,20.2
2022 Q2,Oregon,OR,15.6
2022 Q2,Pennsylvania,PA,15.4
2022 Q2,Rhode Island,RI,4.6
2022 Q2,South Carolina,SC,21.6
2022 Q2,South Dakota,SD,14.9
2022 Q2,Tennessee,TN,22.4
2022 Q2,Texas,TX,16.1
2022 Q2,Utah,UT,12.5
2022 Q2,Vermont,VT,14.1
2022 Q2,Virginia,VA,15.2
2022 Q2,Washington,WA,12.9
2022 Q2,West Virginia,WV,17.7
2022 Q2,Wisconsin,WI,14.5
2022 Q2,Wyoming,WY,27.1
2022 Q3,Alabama,AL,25.6
2022 Q3,Alaska,AK,23.3
2022 Q3,Arizona,AZ,20.9
2022 Q3,Arkansas,AR,22.4
2022 Q3,California,CA,9.1
2022 Q3,Colorado,CO,17.8
2022 Q3,Connecticut,CT,6.8
2022 Q3,Delaware,DE,12.6
2022 Q3,District Of Columbia,DC,26.9
2022 Q3,Florida,FL,14.7
2022 Q3,Georgia,GA,19.7
2022 Q3,Hawaii,HI,4.3
2022 Q3,Idaho,ID,16.6
2022 Q3,Illinois,IL,14.7
2022 Q3,Indiana,IN,17.9
2022 Q3,Iowa,IA,10.9
2022 Q3,Kansas,KS,17.5
2022 Q3,Kentucky,KY,18.6
2022 Q3,Louisiana,LA,27.4
2022 Q3,Maine,ME,11.8
2022 Q3,Maryland,MD,13.5
2022 Q3,Massachusetts,MA,3.9
2022 Q3,Michigan,MI,15
2022 Q3,Minnesota,MN,10.3
2022 Q3,Mississippi,MS,28.4
2022 Q3,Missouri,MO,23.8
2022 Q3,Montana,MT,24.2
2022 Q3,Nebraska,NE,12.5
2022 Q3,Nevada,NV,19.2
2022 Q3,New Hampshire,NH,10.3
2022 Q3,New Jersey,NJ,5.3
2022 Q3,New Mexico,NM,27.9
2022 Q3,New York,NY,5.5
2022 Q3,North Carolina,NC,17.3
2022 Q3,North Dakota,ND,15.8
2022 Q3,Ohio,OH,15.9
2022 Q3,Oklahoma,OK,19.8
2022 Q3,Oregon,OR,15.9
2022 Q3,Pennsylvania,PA,15.6
2022 Q3,Rhode Island,RI,3.7
2022 Q3,South Carolina,SC,21.3
2022 Q3,South Dakota,SD,16.7
2022 Q3,Tennessee,TN,21.6
2022 Q3,Texas,TX,16.1
2022 Q3,Utah,UT,12.4
2022 Q3,Vermont,VT,13.4
2022 Q3,Virginia,VA,15.3
2022 Q3,Washington,WA,13
2022 Q3,West Virginia,WV,17.9
2022 Q3,Wisconsin,WI,14.5
2022 Q3,Wyoming,WY,23.6
