State,Annual Salary,Monthly Pay,Weeky Pay,Hourly Wage,Job Title
New York,103494,8624,1990,49.76,Data Warehouse Analyst
California,100438,8369,1931,48.29,Data Warehouse Analyst
Massachusetts,94377,7864,1814,45.37,Data Warehouse Analyst
Nevada,94002,7833,1807,45.19,Data Warehouse Analyst
Vermont,93069,7755,1789,44.74,Data Warehouse Analyst
Wisconsin,91666,7638,1762,44.07,Data Warehouse Analyst
New Jersey,91640,7636,1762,44.06,Data Warehouse Analyst
Oregon,91504,7625,1759,43.99,Data Warehouse Analyst
Maine,91418,7618,1758,43.95,Data Warehouse Analyst
Hawaii,90464,7538,1739,43.49,Data Warehouse Analyst
Texas,89813,7484,1727,43.18,Data Warehouse Analyst
Minnesota,89078,7423,1713,42.83,Data Warehouse Analyst
Alaska,88908,7409,1709,42.74,Data Warehouse Analyst
Wyoming,88385,7365,1699,42.49,Data Warehouse Analyst
Indiana,87653,7304,1685,42.14,Data Warehouse Analyst
Arizona,87625,7302,1685,42.13,Data Warehouse Analyst
Idaho,86821,7235,1669,41.74,Data Warehouse Analyst
Pennsylvania,86582,7215,1665,41.63,Data Warehouse Analyst
New Hampshire,86519,7209,1663,41.60,Data Warehouse Analyst
Rhode Island,86430,7202,1662,41.55,Data Warehouse Analyst
South Dakota,86346,7195,1660,41.51,Data Warehouse Analyst
North Dakota,86281,7190,1659,41.48,Data Warehouse Analyst
Georgia,86137,7178,1656,41.41,Data Warehouse Analyst
Iowa,86073,7172,1655,41.38,Data Warehouse Analyst
Connecticut,85552,7129,1645,41.13,Data Warehouse Analyst
Montana,84066,7005,1616,40.42,Data Warehouse Analyst
Illinois,83896,6991,1613,40.33,Data Warehouse Analyst
New Mexico,82988,6915,1595,39.90,Data Warehouse Analyst
Ohio,82780,6898,1591,39.80,Data Warehouse Analyst
Virginia,82624,6885,1588,39.72,Data Warehouse Analyst
Maryland,82490,6874,1586,39.66,Data Warehouse Analyst
Delaware,81272,6772,1562,39.07,Data Warehouse Analyst
Utah,81096,6758,1559,38.99,Data Warehouse Analyst
Tennessee,81023,6751,1558,38.95,Data Warehouse Analyst
Colorado,80847,6737,1554,38.87,Data Warehouse Analyst
Mississippi,79684,6640,1532,38.31,Data Warehouse Analyst
Oklahoma,78499,6541,1509,37.74,Data Warehouse Analyst
South Carolina,78071,6505,1501,37.53,Data Warehouse Analyst
Michigan,77358,6446,1487,37.19,Data Warehouse Analyst
Missouri,76933,6411,1479,36.99,Data Warehouse Analyst
Kansas,76610,6384,1473,36.83,Data Warehouse Analyst
Nebraska,74870,6239,1439,36.00,Data Warehouse Analyst
West Virginia,74604,6217,1434,35.87,Data Warehouse Analyst
Louisiana,74273,6189,1428,35.71,Data Warehouse Analyst
Alabama,74050,6170,1424,35.60,Data Warehouse Analyst
Florida,73973,6164,1422,35.56,Data Warehouse Analyst
Kentucky,71661,5971,1378,34.45,Data Warehouse Analyst
North Carolina,71282,5940,1370,34.27,Data Warehouse Analyst
Arkansas,70536,5878,1356,33.91,Data Warehouse Analyst
New York,149475,12456,2874,71.86,Machine Learning Engineer
Vermont,135058,11254,2597,64.93,Machine Learning Engineer
Massachusetts,130436,10869,2508,62.71,Machine Learning Engineer
Nevada,130380,10865,2507,62.68,Machine Learning Engineer
New Jersey,130329,10860,2506,62.66,Machine Learning Engineer
Wisconsin,129825,10818,2496,62.42,Machine Learning Engineer
Washington,127691,10640,2455,61.39,Machine Learning Engineer
Wyoming,127379,10614,2449,61.24,Machine Learning Engineer
Oregon,127326,10610,2448,61.21,Machine Learning Engineer
Indiana,125913,10492,2421,60.54,Machine Learning Engineer
Arizona,125872,10489,2420,60.52,Machine Learning Engineer
Hawaii,125723,10476,2417,60.44,Machine Learning Engineer
Minnesota,125531,10460,2414,60.35,Machine Learning Engineer
New Hampshire,125231,10435,2408,60.21,Machine Learning Engineer
Pennsylvania,125027,10418,2404,60.11,Machine Learning Engineer
Georgia,123735,10311,2379,59.49,Machine Learning Engineer
Alaska,123316,10276,2371,59.29,Machine Learning Engineer
Iowa,120877,10073,2324,58.11,Machine Learning Engineer
Montana,120760,10063,2322,58.06,Machine Learning Engineer
Rhode Island,120265,10022,2312,57.82,Machine Learning Engineer
South Dakota,120052,10004,2308,57.72,Machine Learning Engineer
North Dakota,119962,9996,2306,57.67,Machine Learning Engineer
Connecticut,119554,9962,2299,57.48,Machine Learning Engineer
California,119362,9946,2295,57.39,Machine Learning Engineer
New Mexico,117578,9798,2261,56.53,Machine Learning Engineer
Ohio,116832,9736,2246,56.17,Machine Learning Engineer
Illinois,115728,9644,2225,55.64,Machine Learning Engineer
Tennessee,114355,9529,2199,54.98,Machine Learning Engineer
Utah,114169,9514,2195,54.89,Machine Learning Engineer
Virginia,113631,9469,2185,54.63,Machine Learning Engineer
Maryland,113503,9458,2182,54.57,Machine Learning Engineer
Delaware,111847,9320,2150,53.77,Machine Learning Engineer
Colorado,111448,9287,2143,53.58,Machine Learning Engineer
Mississippi,111027,9252,2135,53.38,Machine Learning Engineer
Maine,109324,9110,2102,52.56,Machine Learning Engineer
Oklahoma,107958,8996,2076,51.90,Machine Learning Engineer
West Virginia,107730,8977,2071,51.79,Machine Learning Engineer
South Carolina,107544,8962,2068,51.70,Machine Learning Engineer
Kansas,106730,8894,2052,51.31,Machine Learning Engineer
Michigan,106621,8885,2050,51.26,Machine Learning Engineer
Alabama,106372,8864,2045,51.14,Machine Learning Engineer
Florida,106258,8854,2043,51.09,Machine Learning Engineer
Missouri,105947,8828,2037,50.94,Machine Learning Engineer
Texas,105775,8814,2034,50.85,Machine Learning Engineer
Louisiana,104667,8722,2012,50.32,Machine Learning Engineer
Nebraska,102966,8580,1980,49.50,Machine Learning Engineer
Idaho,102694,8557,1974,49.37,Machine Learning Engineer
Kentucky,98950,8245,1902,47.57,Machine Learning Engineer
North Carolina,98192,8182,1888,47.21,Machine Learning Engineer
Arkansas,97299,8108,1871,46.78,Machine Learning Engineer
Washington,108915,9076,2094,52.36,Business Analyst
New York,103867,8655,1997,49.94,Business Analyst
Maryland,101187,8432,1945,48.65,Business Analyst
Virginia,100834,8402,1939,48.48,Business Analyst
California,100388,8365,1930,48.26,Business Analyst
Delaware,99863,8321,1920,48.01,Business Analyst
Oklahoma,95802,7983,1842,46.06,Business Analyst
Massachusetts,95305,7942,1832,45.82,Business Analyst
Nevada,94881,7906,1824,45.62,Business Analyst
Vermont,93341,7778,1795,44.88,Business Analyst
Oregon,92319,7693,1775,44.38,Business Analyst
Wisconsin,92253,7687,1774,44.35,Business Analyst
New Jersey,92173,7681,1772,44.31,Business Analyst
Maine,91428,7619,1758,43.96,Business Analyst
